hispanic,citizen,black,exp,wage,female,education
1,0,0,12.9,3.2708333,0,3
0,0,0,11.0,12.820513,0,12
1,0,0,11.7,8.5737179,0,13
0,1,1,13.7,1.25,0,13
0,0,0,10.7,15.238095,0,13
1,0,0,12.0,4.1666667,0,12
1,0,0,14.0,5.2884615,0,10
0,0,0,12.7,7.183,0,13
0,1,0,15.0,11.452991,0,12
0,0,0,11.0,6.6666667,0,16
1,0,0,14.0,5.6578947,0,12
1,1,0,13.47,1.8465909,0,11
0,1,0,10.0,8.2417582,0,12
0,1,1,14.7,18.269231,0,13
0,1,0,14.7,14.423077,0,13
0,1,0,11.0,13.071895,0,16
0,1,0,11.7,8.3333333,0,13
1,1,0,14.0,7.2115385,0,12
0,1,0,12.0,35.478261,0,16
0,1,0,11.0,15.384615,0,16
0,1,1,11.7,9.2307692,0,13
0,1,0,14.7,7.3529412,0,14
0,0,0,12.0,9.5652174,0,18
